row_id,task_id,user_id,project_id,pages_id,timestamp,url,url_title,source,query_segment_id,probhelp_difficult_articulate,probhelp_irrelevant_results,probhelp_topknowledge_lack,probhelp_patience_lack,probhelp_credibility_uncertain,probhelp_sources_unaware,probhelp_toomuch_information,probhelp_source_unavailable,probhelp_no_problem,probhelp_page_recommendation,probhelp_people_recommendation,probhelp_query_recommendation,probhelp_strategy_recommendation,probhelp_no_help_needed,probhelp_system_unsatisfactory,goal_specific,task_pre_difficulty,narrow_information,task_newinformation,task_unspecified,task_detail,task_knowspecific,queries_start,know_usefulinfo,useful_notobtain,task_familiarity,task_effort,satisfaction,system_helpfulness,goal_success,mental_demand,physical_demand,temporal_demand,effort,frustration,task_difficult,search_experience,search_frequency,nonsearch_frequency,complexity,need,product,goal,word_count,cleanQuery,query_length,query_reformulation,reformulation_type,actions,session_time_elapsed,session_num_bookmarks,session_num_content_distinct,session_num_queries_distinct,session_num_content_distinct_perquery,time_elapsed_action,session_time_elapsed_afteraction,time_elapsed_action_serp,time_elapsed_action_content,session_time_elapsed_serp,session_time_elapsed_content,session_query_len_mean,session_num_query_nocontent,seg_query_len,prev_query_len,seg_time_elapsed_serp,prev_time_elapsed_serp,seg_time_elapsed_content,prev_time_elapsed_content,seg_time_elapsed,prev_time_elapsed,seg_num_content_distinct,prev_num_content_distinct,seg_num_query_noclicks,prev_num_query_noclicks,session_num_query_noclicks,seg_num_bookmarks,prev_num_bookmarks
129,2,49,156,0,8/7/2019 13:57,link,url title,google,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,2,5,5,5,5,6,2,5,4,5,4,1,4,4,3,3,14,>=3 hour,21-25 times,Low,Social,Intellectual,Amorphous,2,youtubetrending,15,0,0,query,393,4,8,4,2,0,393,0,0,120,179,2.25,0,2,2,34,29,101,49,0,170,6,2,0,0,0,2,1
1205,2,49,156,0,8/7/2019 13:57,link,url title,google,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,2,5,5,5,5,6,2,5,4,5,4,1,4,4,3,3,14,>=3 hour,21-25 times,Low,Social,Intellectual,Amorphous,2,youtubetrending,15,0,0,query,392,4,8,4,2,0,392,0,0,119,179,2.25,0,2,2,34,29,101,49,0,170,6,2,0,0,0,2,1
1206,2,49,156,2778,8/7/2019 13:57,link,url title,google,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,2,5,5,5,5,6,2,5,4,5,4,1,4,4,3,3,14,>=3 hour,21-25 times,Low,Social,Intellectual,Amorphous,2,youtubetrending,15,0,0,page,392,4,8,4,2,1,393,1,0,120,179,2.25,0,2,2,34,29,101,49,0,170,6,2,0,0,0,2,1
130,2,49,156,2779,8/7/2019 13:57,link,url title,google,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,2,5,5,5,5,6,2,5,4,5,4,1,4,4,3,3,14,>=3 hour,21-25 times,Low,Social,Intellectual,Amorphous,2,youtubetrending,15,0,0,page,393,4,8,4,2,3,396,3,0,123,179,2.25,0,2,2,34,29,101,49,0,170,6,2,0,0,0,2,1
2131,2,112,345,0,11/1/2018 17:53,link,url title,google,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,4,4,7,7,7,7,3,7,3,7,7,7,1,1,1,2,1,1,16,>= 1 hour & <1.5 hour,2-5 times,Low,Social,Intellectual,Amorphous,3,WorldSeriessports,17,0,0,query,398,0,5,7,0.714285714,0,398,0,0,114,219,3,0,2,2,36,24,120,0,0,163,2,0,0,1,3,4,0
595,2,112,345,0,11/1/2018 17:53,link,url title,google,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,4,4,7,7,7,7,3,7,3,7,7,7,1,1,1,2,1,1,16,>= 1 hour & <1.5 hour,2-5 times,Low,Social,Intellectual,Amorphous,3,WorldSeriessports,17,0,0,query,372,0,5,7,0.714285714,0,372,0,0,88,219,3,0,2,2,36,24,120,0,0,163,2,0,0,1,3,4,0
2129,2,112,345,0,11/1/2018 17:53,link,url title,google,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,4,4,7,7,7,7,3,7,3,7,7,7,1,1,1,2,1,1,16,>= 1 hour & <1.5 hour,2-5 times,Low,Social,Intellectual,Amorphous,3,WorldSeriessports,17,0,0,query,372,0,5,7,0.714285714,0,372,0,0,88,219,3,0,2,2,36,24,120,0,0,163,2,0,0,1,3,4,0
596,2,112,345,5123,11/1/2018 17:53,link,url title,google,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,4,4,7,7,7,7,3,7,3,7,7,7,1,1,1,2,1,1,16,>= 1 hour & <1.5 hour,2-5 times,Low,Social,Intellectual,Amorphous,3,WorldSeriessports,17,0,0,page,372,0,5,7,0.714285714,0,372,0,0,88,219,3,0,2,2,36,24,120,0,0,163,2,0,0,1,3,4,0
2130,2,112,345,5122,11/1/2018 17:53,link,url title,google,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,4,4,7,7,7,7,3,7,3,7,7,7,1,1,1,2,1,1,16,>= 1 hour & <1.5 hour,2-5 times,Low,Social,Intellectual,Amorphous,3,WorldSeriessports,17,0,0,page,372,0,5,7,0.714285714,26,398,26,0,114,219,3,0,2,2,36,24,120,0,0,163,2,0,0,1,3,4,0
2132,2,112,345,5124,11/1/2018 17:53,link,url title,google,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,4,4,7,7,7,7,3,7,3,7,7,7,1,1,1,2,1,1,16,>= 1 hour & <1.5 hour,2-5 times,Low,Social,Intellectual,Amorphous,3,WorldSeriessports,17,0,0,page,398,0,5,7,0.714285714,3,401,3,0,117,219,3,0,2,2,36,24,120,0,0,163,2,0,0,1,3,4,0
2639,2,118,363,0,11/16/2018 15:39,link,url title,google,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,2,6,3,5,5,4,7,2,7,5,4,5,4,1,3,3,5,3,15,>=2 hour & < 2.5 hour,no more than 1 time,Low,Social,Intellectual,Amorphous,2,wordcounter,11,0,0,query,1102,6,9,7,1.285714286,0,1102,0,0,169,484,2,0,2,2,45,63,0,34,0,45,0,1,1,0,1,0,1
2640,2,118,363,5900,11/16/2018 15:39,link,url title,google,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,2,6,3,5,5,4,7,2,7,5,4,5,4,1,3,3,5,3,15,>=2 hour & < 2.5 hour,no more than 1 time,Low,Social,Intellectual,Amorphous,2,wordcounter,11,0,0,page,1102,6,9,7,1.285714286,39,1141,39,0,208,484,2,0,2,2,45,63,0,34,0,45,0,1,1,0,1,0,1
2638,2,118,363,0,11/16/2018 15:39,link,url title,google,885,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,6,1,2,6,3,5,5,4,7,2,7,5,4,5,4,1,3,3,5,3,15,>=2 hour & < 2.5 hour,no more than 1 time,Low,Social,Intellectual,Amorphous,2,wordcounter10,11,Yes,5,query,1096,6,9,7,1.5,6,1102,6,0,169,484,2,0,2,2,45,63,0,34,0,45,0,1,1,0,1,0,1
2098,1,112,344,0,11/1/2018 17:37,link,url title,google,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,7,4,7,2,2,4,4,1,7,2,2,3,7,7,4,6,5,5,16,>= 1 hour & <1.5 hour,2-5 times,High,Cognitive,Intellectual,Amorphous,5,womensrightsininida2000,23,0,0,query,1043,3,9,12,0.75,13,1056,13,0,557,338,5.5,0,5,4,23,44,130,7,0,169,1,1,0,0,5,1,0
2097,1,112,344,5081,11/1/2018 17:37,link,url title,google,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,7,4,7,2,2,4,4,1,7,2,2,3,7,7,4,6,5,5,16,>= 1 hour & <1.5 hour,2-5 times,High,Cognitive,Intellectual,Amorphous,5,womensrightsininida2000,23,0,0,page,1043,3,9,12,0.75,0,1043,0,0,544,338,5.5,0,5,4,23,44,130,7,0,169,1,1,0,0,5,1,0
1945,1,119,365,0,10/30/2019 19:43,link,url title,google,665,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,2,7,5,4,5,3,5,4,1,5,4,4,5,6,6,5,7,5,4,15,>=2 hour & < 2.5 hour,11-15 times,High,Cognitive,Intellectual,Amorphous,5,womenrightsbeautypagentsindia,29,Yes,5,query,582,14,9,10,1.125,12,594,12,0,363,129,6.1,0,5,5,79,39,140,11,0,220,6,2,0,0,5,3,3
1950,1,119,365,0,10/30/2019 19:44,link,url title,google,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,7,5,4,5,3,5,4,1,5,4,4,5,6,6,5,7,5,4,15,>=2 hour & < 2.5 hour,11-15 times,High,Cognitive,Intellectual,Amorphous,5,womenrightsbeautypagentsindia,29,0,0,query,618,14,10,10,1.111111111,3,621,3,0,377,142,6.1,0,5,5,79,39,140,11,0,220,6,2,0,0,5,3,3
1947,1,119,365,0,10/30/2019 19:44,link,url title,google,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,7,5,4,5,3,5,4,1,5,4,4,5,6,6,5,7,5,4,15,>=2 hour & < 2.5 hour,11-15 times,High,Cognitive,Intellectual,Amorphous,5,womenrightsbeautypagentsindia,29,0,0,query,594,14,9,10,1,11,605,11,0,374,129,6.1,0,5,5,79,39,140,11,0,220,6,2,0,0,5,3,3
1946,1,119,365,4916,10/30/2019 19:44,link,url title,google,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,7,5,4,5,3,5,4,1,5,4,4,5,6,6,5,7,5,4,15,>=2 hour & < 2.5 hour,11-15 times,High,Cognitive,Intellectual,Amorphous,5,womenrightsbeautypagentsindia,29,0,0,page,594,14,9,10,1,0,594,0,0,363,129,6.1,0,5,5,79,39,140,11,0,220,6,2,0,0,5,3,3
1949,1,119,365,4918,10/30/2019 19:44,link,url title,google,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,7,5,4,5,3,5,4,1,5,4,4,5,6,6,5,7,5,4,15,>=2 hour & < 2.5 hour,11-15 times,High,Cognitive,Intellectual,Amorphous,5,womenrightsbeautypagentsindia,29,0,0,page,618,14,10,10,1.111111111,0,618,0,0,374,142,6.1,0,5,5,79,39,140,11,0,220,6,2,0,0,5,3,3
